Species,PlantedStand,Block,Canopy,Understory,OriginStand,Sdlg#,TagColor,StatusDate1,Date,Height,Notes,StatusDate4,Date4,HeightDate4,Notes4,StatusDate5,Date5,HeightDate5,RtCrnHeightDate5,Notes5,Initial Height,comments,done,to do,UniqueID
TSME,1650,HIGH4,CompPresent,CompAbsent,1603,11,BL,A,8/16/11,,,A,9/12/12,2.3,,D,8/7/13,,,,1.9,2 rows,"checked 2011 & 2012 datasheets, one could be 111- measures 1.8 cm",,TSME1603-11
TSME,1064,AV063,CompAbsent,CompPresent,1603,3,BL,A,6/30/11,,,A,8/28/12,2.4,,A,8/8/13,5,4.1,,1.9,2 rows,"checked 2010 (planting), 2011 & 2012",,TSME1603-3
TSME,1650,HIGH2,CompPresent,CompPresent,1603,11,BL,A,8/16/11,,,A,9/12/12,2.6,,A,8/7/13,2,2.7,,1.9,2 rows,"checked 2011 & 2012 datasheets, one could be 111- measures 1.8 cm",,TSME1603-11
TSME,1064,AV063,CompAbsent,CompAbsent,1603,4,BL,A,6/30/11,,,A,8/28/12,2.9,,A,8/8/13,3,3.5,,2.2,2 rows,"checked 2010 (planting), 2011 & 2012",,TSME1603-4
TSME,1064,AV061,CompAbsent,CompPresent,1603,3,BL,A,6/30/11,,,A,8/28/12,3.5,,A,8/8/13,4.3,5.3,,1.9,2 rows,"checked 2010 (planting), 2011 & 2012",,TSME1603-3
ABAM,668,NISQ1,CompPresent,CompPresent,704,7,PK,A,6/23/11,,,A,8/29/12,4.1,,D,8/12/13,,,,3.6,2 rows,checked,,ABAM704-7
ABAM,668,NISQ3,CompAbsent,CompPresent,704,49,PK,A,6/23/11,,,A,8/29/12,4.3,,M,8/12/13,,,,3.7,2 rows,checked 2010(planting),,ABAM704-49
ABAM,704,TO042,CompAbsent,CompPresent,704,96,PK,A,6/23/11,,,A,8/27/12,4.4,,M,8/13/13,,,,5,2 rows,checked,,ABAM704-96
ABAM,1650,HIGH5,CompAbsent,CompPresent,704,45,PK,A,8/16/11,,,A,9/12/12,4.5,,A,8/7/13,1.5,4.1,,3.3,2 rows,"checked 2010(planting), 2011 & 2012",,ABAM704-45
ABAM,704,TO044,CompAbsent,CompAbsent,704,1,PK,A,6/23/11,,,A,8/27/12,6.7,,A,8/13/13,6.5,9,,4.4,2 rows,checked,,ABAM704-1
ABAM,668,NISQ5,CompPresent,CompPresent,1603,397,BL,A,6/23/11,,,D,8/29/12,,,D,8/12/13,,,,2.1,2 rows,"checked 2010, 2011 & 2012 datahseets",,ABAM1603-397
ABAM,704,TO043,CompPresent,CompAbsent,1603,397,BL,A,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,2.1,2 rows,checked 2011 & 2012 datahseets,,ABAM1603-397
TSME,1064,AV062,CompAbsent,CompPresent,1603,4,BL,A,6/30/11,,,D,8/28/12,,,D,8/8/13,,,,2.2,2 rows,"checked 2010 (planting), 2011 & 2012",,TSME1603-4
TSHE,704,TO043,CompAbsent,CompAbsent,1197,2,WH,A,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,3,2 rows,checked 2011 & 2012,check 2010 and 2013- could be 102 oe 202,TSHE1197-2
