Species,SourceStand,Elevation,Flat,SeedsGerm,SeedsSown,YearSown,YearCollected
TSME,AE10,1465,1,4,50,2012,2010
TSME,AE10,1465,2,8,50,2012,2010
TSME,AE10,1465,3,9,50,2012,2010
TSME,AE10,1465,1,11,50,2010,2009
TSME,AE10,1465,2,18,50,2010,2009
TSME,AE10,1465,3,18,50,2010,2009
TSME,AM16,1191,1,5,50,2012,2010
TSME,AM16,1191,2,4,50,2012,2010
TSME,AM16,1191,3,9,50,2012,2010
TSHE,AM16,1191,1,1,50,2012,2010
TSHE,AM16,1191,2,1,50,2012,2010
TSHE,AM16,1191,3,1,50,2012,2010
TSHE,AM16,1191,1L,15,50,2011,2010
TSHE,AM16,1191,1R,24,50,2011,2010
TSHE,AM16,1191,3R,19,50,2011,2010
TSME,AM16,1191,4L,8,50,2011,2010
TSME,AM16,1191,4R,10,50,2011,2010
TSME,AM16,1191,5R,10,50,2011,2010
ABAM,AM16,1191,1,12,50,2010,2009
ABAM,AM16,1191,2,9,50,2010,2009
ABAM,AM16,1191,3,9,54,2010,2009
TSHE,AM16,1191,1,17,50,2010,2009
TSHE,AM16,1191,2,16,50,2010,2009
TSHE,AM16,1191,3,19,50,2010,2009
TSME,AM16,1191,1,18,50,2010,2009
TSME,AM16,1191,2,22,50,2010,2009
TSME,AM16,1191,3,20,50,2010,2009
ABAM,AV06,1069,1,7,50,2012,2010
ABAM,AV06,1069,2,8,50,2012,2010
ABAM,AV06,1069,3,12,50,2012,2010
ABAM,AV06,1069,6L,12,50,2011,2010
ABAM,AV06,1069,6R,2,50,2011,2010
ABAM,AV06,1069,8R,3,35,2011,2010
ABAM,AV06,1069,1,18,50,2010,2009
ABAM,AV06,1069,2,9,50,2010,2009
ABAM,AV06,1069,3,11,50,2010,2009
TSME,PARA,1620,1,2,50,2012,2010
TSME,PARA,1620,2,2,50,2012,2010
TSME,PARA,1620,3,5,50,2012,2010
ABAM,PARA,1620,1,4,50,2012,2010
ABAM,PARA,1620,2,4,50,2012,2010
ABAM,PARA,1620,3,6,50,2012,2010
ABAM,PARA,1620,7L,8,50,2011,2010
ABAM,PARA,1620,7R,9,50,2011,2010
ABAM,PARA,1620,8L,3,50,2011,2010
ABAM,PARA,1620,1,19,50,2010,2009
ABAM,PARA,1620,2,24,50,2010,2009
ABAM,PARA,1620,3,20,50,2010,2009
TSME,PARA,1620,1,9,50,2010,2009
TSME,PARA,1620,2,8,50,2010,2009
TSME,PARA,1620,3,10,50,2010,2009
TSHE,TO04,680,1,6,50,2012,2010
TSHE,TO04,680,2,3,50,2012,2010
TSHE,TO04,680,3,4,50,2012,2010
ABAM,TO04,680,3,3,50,2010,2009
TSHE,TO04,680,2L,17,50,2011,2010
TSHE,TO04,680,2R,21,50,2011,2010
TSHE,TO04,680,3L,13,50,2011,2010
ABAM,TO04,680,1,2,50,2010,2009
ABAM,TO04,680,2,2,50,2010,2009
ABAM,TO04,680,3,5,50,2010,2009
TSHE,TO04,680,1,22,50,2010,2009
TSHE,TO04,680,2,27,50,2010,2009
TSHE,TO04,680,3,29,50,2010,2009
