Year,Stand,Block,Plot,Canopy,Understory,Comp,SpPlant,SpObs,Origin,TotalGerms,SeedsAdded,TotalFails
2011,1064,AV061,D,CompAbsent,CompPresent,2,ABAM,ABAM,lower,0,0,
2011,1064,AV061,I,CompAbsent,CompAbsent,1,ABAM,ABAM,lower,0,0,
2011,1064,AV062,E,CompAbsent,CompPresent,2,ABAM,ABAM,lower,0,0,
2011,1064,AV062,J,CompAbsent,CompAbsent,1,ABAM,ABAM,lower,0,0,
2011,1064,AV063,A,CompAbsent,CompPresent,2,ABAM,ABAM,lower,0,0,
2011,1064,AV063,F,CompAbsent,CompAbsent,1,ABAM,ABAM,lower,0,0,
2011,1064,AV064,D,CompAbsent,CompPresent,2,ABAM,ABAM,lower,0,0,
2011,1064,AV064,I,CompAbsent,CompAbsent,1,ABAM,ABAM,lower,0,0,
2011,1064,AV065,A,CompAbsent,CompAbsent,1,ABAM,ABAM,lower,0,0,
2011,1064,AV065,F,CompAbsent,CompPresent,2,ABAM,ABAM,lower,0,0,
2011,1064,AV061,D,CompPresent,CompAbsent,3,ABAM,ABAM,lower,0,0,
2011,1064,AV061,I,CompPresent,CompPresent,4,ABAM,ABAM,lower,0,0,
2011,1064,AV062,D,CompPresent,CompPresent,4,ABAM,ABAM,lower,0,0,
2011,1064,AV062,I,CompPresent,CompAbsent,3,ABAM,ABAM,lower,0,0,
2011,1064,AV063,A,CompPresent,CompPresent,4,ABAM,ABAM,lower,0,0,
2011,1064,AV063,F,CompPresent,CompAbsent,3,ABAM,ABAM,lower,0,0,
2011,1064,AV064,C,CompPresent,CompAbsent,3,ABAM,ABAM,lower,0,0,
2011,1064,AV064,H,CompPresent,CompPresent,4,ABAM,ABAM,lower,0,0,
2011,1064,AV065,C,CompPresent,CompPresent,4,ABAM,ABAM,lower,0,0,
2011,1064,AV065,H,CompPresent,CompAbsent,3,ABAM,ABAM,lower,0,0,
2011,1650,HIGH1,E,CompAbsent,CompPresent,2,ABAM,ABAM,lower,0,0,
