Name,DateTime,Latitude,Longitude,Altitude_m
AE10-G-1,13-AUG-09 11:33:10AM,N46.76869,W121.74346,1465
AE10-G-2,13-AUG-09 12:00:00PM,N46.76837,W121.74407,1477
AE10-G-3,08-JUL-10 3:31:32PM,N46.76855,W121.74390,1489
AE10-G-4,13-AUG-09 1:14:34PM,N46.76875,W121.74204,1473
AE10-G-5,08-JUL-10 3:26:09PM,N46.76839,W121.74478,1491
AE10-N-2,13-AUG-09 12:08:36PM,N46.76834,W121.74421,1485
AE10-N-3,13-AUG-09 1:06:34PM,N46.76862,W121.74222,1473
AE10-N-4,13-AUG-09 1:26:57PM,N46.76857,W121.74188,1475
AM16-G-1,12-AUG-09 9:41:20AM,N46.76862,W121.75650,1191
AM16-G-2,08-JUL-10 1:35:49PM,N46.76797,W121.75598,1237
AM16-G-3,12-AUG-09 10:27:33AM,N46.76767,W121.75712,1209
AM16-G-4,08-JUL-10 12:31:19PM,N46.76788,W121.75637,1251
AM16-G-5,29-JUN-10 12:26:05PM,N46.76797,W121.75697,1204
AM16-N-1,12-AUG-09 9:47:21AM,N46.76870,W121.75653,1208
AM16-N-2,08-JUL-10 1:33:42PM,N46.76796,W121.75621,1236
AM16-N-3,12-AUG-09 10:37:04AM,N46.76784,W121.75728,1213
AM16-N-4,08-JUL-10 12:50:44PM,N46.76812,W121.75654,1225
AM16-N-5,08-JUL-10 11:16:36AM,N46.76788,W121.75664,1219
AV06-G-1,11-AUG-09 9:53:40AM,N46.77584,W121.78326,1069
AV06-G-2,11-AUG-09 10:18:43AM,N46.77616,W121.78292,1072
AV06-G-3,29-JUN-10 4:33:52PM,N46.77715,W121.78316,1079
AV06-G-4,11-AUG-09 11:07:13AM,N46.77672,W121.78407,1067
AV06-G-5,29-JUN-10 4:38:47PM,N46.77691,W121.78290,1079
AV06-N-1,11-AUG-09 10:04:34AM,N46.77600,W121.78317,1067
AV06-N-2,11-AUG-09 10:28:57AM,N46.77622,W121.78308,1067
AV06-N-3,08-JUL-10 4:55:30PM,N46.77691,W121.78314,1080
AV06-N-4,11-AUG-09 11:18:40AM,N46.77663,W121.78404,1065
AV06-N-5,08-JUL-10 4:48:34PM,N46.77680,W121.78305,1071
HIGH-G-1,02-SEP-09 12:24:29PM,N46.77780,W121.72539,1657
HIGH-G-2,02-SEP-09 1:39:41PM,N46.77777,W121.72594,1668
HIGH-G-3,02-SEP-09 3:07:32PM,N46.77818,W121.72589,1663
HIGH-G-4,29-JUL-10 12:06:11PM,N46.77883,W121.72554,1656
HIGH-G-5,29-JUL-10 1:34:05PM,N46.77956,W121.72401,1675
HIGH-N-3,02-SEP-09 3:56:37PM,N46.77795,W121.72573,1668
HIGH-N-4,29-JUL-10 12:14:39PM,N46.77902,W121.72542,1667
HIGH-N-5,29-JUL-10 1:03:27PM,N46.77967,W121.72391,1673
NISQ-G-3,28-JUN-10 3:31:30PM,N46.73988,W121.91502,623
NISQ-G-4,28-JUN-10 3:46:33PM,N46.73965,W121.91654,634
NISQ-G-5,28-JUN-10 3:56:12PM,N46.73899,W121.91632,625
NISQ-N-3,08-JUL-10 5:48:53PM,N46.74004,W121.91492,633
NISQ-N-4,08-JUL-10 5:28:57PM,N46.73974,W121.91672,632
NISQ-N-5,08-JUL-10 5:32:53PM,N46.73915,W121.91641,623
PARA-G-1,01-SEP-09 3:49:53PM,N46.77646,W121.73140,1620
PARA-G-2,10-SEP-09 5:58:42PM,N46.77579,W121.73284,1611
PARA-G-3,01-SEP-09 6:20:06PM,N46.77674,W121.73115,1620
PARA-G-4,28-JUL-10 11:50:15AM,N46.77568,W121.73233,1624
PARA-G-5,28-JUL-10 11:52:49AM,N46.77562,W121.73252,1625
TO04-G-1,10-AUG-09 1:38:36PM,N46.74104,W121.88706,680
TO04-G-2,01-JUL-10 6:53:32PM,N46.74128,W121.88749,683
TO04-G-3,07-JUL-10 9:33:51AM,N46.74077,W121.88899,664
TO04-G-4,10-AUG-09 3:53:19PM,N46.74095,W121.88915,665
TO04-G-5,10-AUG-09 4:18:55PM,N46.74054,W121.88878,683
TO04-N-1,10-AUG-09 1:53:11PM,N46.74098,W121.88725,674
TO04-N-2,07-JUL-10 2:02:15PM,N46.74134,W121.88720,680
TO04-N-3,07-JUL-10 10:51:00AM,N46.74088,W121.88895,681
TO04-N-4,10-AUG-09 4:05:26PM,N46.74097,W121.88923,669
TO04-N-5,10-AUG-09 4:27:47PM,N46.74050,W121.88905,687
